compound,compound noun,compound noun_tag,original sentence,original sentence_tag,entire original sentence,entire original sentence_tag,original head only,original head only_tag,original modifier only,original modifier only_tag,generic modifier,generic modifier_tag,generic head,generic head_tag,synonym modifier,synonym modifier_tag,synonym head,synonym head_tag,synonym both,synonym both_tag,synonym for compound,synonym for compound_tag,nc rand freq sentence1,nc rand freq sentence1_tag,nc rand sentence1,nc rand sentence1_tag,nc rand freq sentence2,nc rand freq sentence2_tag,nc rand sentence2,nc rand sentence2_tag,nc rand freq sentence3,nc rand freq sentence3_tag,nc rand sentence3,nc rand sentence3_tag,nc rand freq sentence4,nc rand freq sentence4_tag,nc rand sentence4,nc rand sentence4_tag,nc rand freq sentence5,nc rand freq sentence5_tag,nc rand sentence5,nc rand sentence5_tag
abalo sísmico,abalos sísmicos,"[True, True]","As terras também sofrerão fortes abalos sísmicos , o que desencadeará fortíssimos terremotos por todo o globo terrestre .","[False, False, False, False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False]","As terras também sofrerão fortes abalos sísmicos , o que desencadeará fortíssimos terremotos por todo o globo terrestre .","[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]","As terras também sofrerão fortes abalos , o que desencadeará fortíssimos terremotos por todo o globo terrestre .","[False, False, False, False, False, True, False, False, False, False, False, False, False, False, False, False, False, False]","As terras também sofrerão fortes sísmicos , o que desencadeará fortíssimos terremotos por todo o globo terrestre .","[False, False, False, False, False, True, False, False, False, False, False, False, False, False, False, False, False, False]","As terras também sofrerão fortes abalos normais , o que desencadeará fortíssimos terremotos por todo o globo terrestre .","[False, False, False, False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False]","As terras também sofrerão fortes coisos sísmicos , o que desencadeará fortíssimos terremotos por todo o globo terrestre .","[False, False, False, False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False]","As terras também sofrerão fortes abalos enérgicos , o que desencadeará fortíssimos terremotos por todo o globo terrestre .","[False, False, False, False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False]","As terras também sofrerão fortes trepidações sísmicas , o que desencadeará fortíssimos terremotos por todo o globo terrestre .","[False, False, False, False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False]","As terras também sofrerão fortes trepidações enérgicas , o que desencadeará fortíssimos terremotos por todo o globo terrestre .","[False, False, False, False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False]","As terras também sofrerão fortes terremotos , o que desencadeará fortíssimos terremotos por todo o globo terrestre .","[False, False, False, False, False, True, False, False, False, False, False, False, False, False, False, False, False, False]","As terras também sofrerão fortes índios aculturados , o que desencadeará fortíssimos terremotos por todo o globo terrestre .","[False, False, False, False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False]","As terras também sofrerão fortes direitos humanos , o que desencadeará fortíssimos terremotos por todo o globo terrestre .","[False, False, False, False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False]","As terras também sofrerão fortes cruzadores auxiliares , o que desencadeará fortíssimos terremotos por todo o globo terrestre .","[False, False, False, False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False]","As terras também sofrerão fortes paraísos fiscais , o que desencadeará fortíssimos terremotos por todo o globo terrestre .","[False, False, False, False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False]","As terras também sofrerão fortes preceitos rígidos , o que desencadeará fortíssimos terremotos por todo o globo terrestre .","[False, False, False, False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False]","As terras também sofrerão fortes gatos-pingados , o que desencadeará fortíssimos terremotos por todo o globo terrestre .","[False, False, False, False, False, True, False, False, False, False, False, False, False, False, False, False, False, False]","As terras também sofrerão fortes autarcas centristas , o que desencadeará fortíssimos terremotos por todo o globo terrestre .","[False, False, False, False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False]","As terras também sofrerão fortes regimes políticos , o que desencadeará fortíssimos terremotos por todo o globo terrestre .","[False, False, False, False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False]","As terras também sofrerão fortes bombardeamentos intensos , o que desencadeará fortíssimos terremotos por todo o globo terrestre .","[False, False, False, False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False]","As terras também sofrerão fortes novos-ricos , o que desencadeará fortíssimos terremotos por todo o globo terrestre .","[False, False, False, False, False, True, False, False, False, False, False, False, False, False, False, False, False, False]"
acampamento militar,acampamento militar,"[True, True]",Na Guiana havia um grande acampamento militar e um avião de tropas estava trazendo mais soldados para ali .,"[False, False, False, False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False]",Na Guiana havia um grande acampamento militar e um avião de tropas estava trazendo mais soldados para ali .,"[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]",Na Guiana havia um grande acampamento e um avião de tropas estava trazendo mais soldados para ali .,"[False, False, False, False, False, True, False, False, False, False, False, False, False, False, False, False, False, False]",Na Guiana havia um grande militar e um avião de tropas estava trazendo mais soldados para ali .,"[False, False, False, False, False, True, False, False, False, False, False, False, False, False, False, False, False, False]",Na Guiana havia um grande acampamento normal e um avião de tropas estava trazendo mais soldados para ali .,"[False, False, False, False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False]",Na Guiana havia um grande coiso militar e um avião de tropas estava trazendo mais soldados para ali .,"[False, False, False, False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False]",Na Guiana havia um grande acampamento bélico e um avião de tropas estava trazendo mais soldados para ali .,"[False, False, False, False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False]",Na Guiana havia um grande camping militar e um avião de tropas estava trazendo mais soldados para ali .,"[False, False, False, False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False]",Na Guiana havia um grande camping bélico e um avião de tropas estava trazendo mais soldados para ali .,"[False, False, False, False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False]",Na Guiana havia um grande acampamento do exército e um avião de tropas estava trazendo mais soldados para ali .,"[False, False, False, False, False, True, True, True, False, False, False, False, False, False, False, False, False, False, False, False]",Na Guiana havia uma grande situação líquida e um avião de tropas estava trazendo mais soldados para ali .,"[False, False, False, False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False]",Na Guiana havia um grande curto-circuito e um avião de tropas estava trazendo mais soldados para ali .,"[False, False, False, False, False, True, False, False, False, False, False, False, False, False, False, False, False, False]",Na Guiana havia uma grande coisa óbvia e um avião de tropas estava trazendo mais soldados para ali .,"[False, False, False, False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False]",Na Guiana havia um grande tempo real e um avião de tropas estava trazendo mais soldados para ali .,"[False, False, False, False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False]",Na Guiana havia um grande abordagem geral e um avião de tropas estava trazendo mais soldados para ali .,"[False, False, False, False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False]",Na Guiana havia um grande alto-falante e um avião de tropas estava trazendo mais soldados para ali .,"[False, False, False, False, False, True, False, False, False, False, False, False, False, False, False, False, False, False]",Na Guiana havia um grande café expresso e um avião de tropas estava trazendo mais soldados para ali .,"[False, False, False, False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False]",Na Guiana havia um grande ônibus executivo e um avião de tropas estava trazendo mais soldados para ali .,"[False, False, False, False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False]",Na Guiana havia um grande vaso sanguíneo e um avião de tropas estava trazendo mais soldados para ali .,"[False, False, False, False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False]",Na Guiana havia um grande ano-novo e um avião de tropas estava trazendo mais soldados para ali .,"[False, False, False, False, False, True, False, False, False, False, False, False, False, False, False, False, False, False]"
agente secreto,agente secreto,"[True, True]",Fleming criou um agente secreto que era ao mesmo tempo frustrado e ambivalente em relação ao seu trabalho .,"[False, False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",Fleming criou um agente secreto que era ao mesmo tempo frustrado e ambivalente em relação ao seu trabalho .,"[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]",Fleming criou um agente que era ao mesmo tempo frustrado e ambivalente em relação ao seu trabalho .,"[False, False, False, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",Fleming criou um secreto que era ao mesmo tempo frustrado e ambivalente em relação ao seu trabalho .,"[False, False, False, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",Fleming criou um agente normal que era ao mesmo tempo frustrado e ambivalente em relação ao seu trabalho .,"[False, False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",Fleming criou um coiso secreto que era ao mesmo tempo frustrado e ambivalente em relação ao seu trabalho .,"[False, False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",Fleming criou um agente oculto que era ao mesmo tempo frustrado e ambivalente em relação ao seu trabalho .,"[False, False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",Fleming criou um agenciador secreto que era ao mesmo tempo frustrado e ambivalente em relação ao seu trabalho .,"[False, False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",Fleming criou um agenciador oculto que era ao mesmo tempo frustrado e ambivalente em relação ao seu trabalho .,"[False, False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",Fleming criou um espião que era ao mesmo tempo frustrado e ambivalente em relação ao seu trabalho .,"[False, False, False, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",Fleming criou umas diferenças técnicas que eram ao mesmo tempo frustradas e ambivalentes em relação ao seu trabalho .,"[False, False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",Fleming criou um café colonial que era ao mesmo tempo frustrado e ambivalente em relação ao seu trabalho .,"[False, False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",Fleming criou um tipo societário que era ao mesmo tempo frustrado e ambivalente em relação ao seu trabalho .,"[False, False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",Fleming criou um braço direito que era ao mesmo tempo frustrado e ambivalente em relação ao seu trabalho .,"[False, False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",Fleming criou umas ligas europeias que eram ao mesmo tempo frustradas e ambivalentes em relação ao seu trabalho .,"[False, False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",Fleming criou um buraco negro que era ao mesmo tempo frustrado e ambivalente em relação ao seu trabalho .,"[False, False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",Fleming criou um formato mínimo que era ao mesmo tempo frustrado e ambivalente em relação ao seu trabalho .,"[False, False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",Fleming criou um sangue azul que era ao mesmo tempo frustrado e ambivalente em relação ao seu trabalho .,"[False, False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",Fleming criou um menisco interno que era ao mesmo tempo frustrado e ambivalente em relação ao seu trabalho .,"[False, False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",Fleming criou um relógio biológico que era ao mesmo tempo frustrado e ambivalente em relação ao seu trabalho .,"[False, False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
água doce,água doce,"[True, True]",95 a 98% das pérolas de água doce não são nucleadas .,"[False, False, False, False, False, False, True, True, False, False, False, False]",95 a 98% das pérolas de água doce não são nucleadas .,"[True, True, True, True, True, True, True, True, True, True, True, True]",95 a 98% das pérolas de água não são nucleadas .,"[False, False, False, False, False, False, True, False, False, False, False]",95 a 98% das pérolas de doce não são nucleadas .,"[False, False, False, False, False, False, True, False, False, False, False]",95 a 98% das pérolas de água normal não são nucleadas .,"[False, False, False, False, False, False, True, True, False, False, False, False]",95 a 98% das pérolas de coisa doce não são nucleadas .,"[False, False, False, False, False, False, True, True, False, False, False, False]",95 a 98% das pérolas de água açucarada não são nucleadas .,"[False, False, False, False, False, False, True, True, False, False, False, False]",95 a 98% das pérolas de fluido doce não são nucleadas .,"[False, False, False, False, False, False, True, True, False, False, False, False]",95 a 98% das pérolas de fluido açucarado não são nucleadas .,"[False, False, False, False, False, False, True, True, False, False, False, False]",95 a 98% das pérolas de água potável não são nucleadas .,"[False, False, False, False, False, False, True, True, False, False, False, False]",95 a 98% das pérolas de forte espanhol não são nucleadas .,"[False, False, False, False, False, False, True, True, False, False, False, False]",95 a 98% das pérolas de batata-doce não são nucleadas .,"[False, False, False, False, False, False, True, False, False, False, False]",95 a 98% das pérolas de diversas confissões não são nucleadas .,"[False, False, False, False, False, False, True, True, False, False, False, False]",95 a 98% das pérolas de máquina virtual não são nucleadas .,"[False, False, False, False, False, False, True, True, False, False, False, False]",95 a 98% das pérolas de condições legais não são nucleadas .,"[False, False, False, False, False, False, True, True, False, False, False, False]",95 a 98% das pérolas de roleta russa não são nucleadas .,"[False, False, False, False, False, False, True, True, False, False, False, False]",95 a 98% das pérolas de próximo nascimento não são nucleadas .,"[False, False, False, False, False, False, True, True, False, False, False, False]",95 a 98% das pérolas de classe executiva não são nucleadas .,"[False, False, False, False, False, False, True, True, False, False, False, False]",95 a 98% das pérolas de diversas seções não são nucleadas .,"[False, False, False, False, False, False, True, True, False, False, False, False]",95 a 98% das pérolas de má-fé não são nucleadas .,"[False, False, False, False, False, False, True, False, False, False, False]"
água mineral,água mineral,"[True, True]",Foram avaliadas 47 marcas de água mineral ;,"[False, False, False, False, False, True, True, False]",Foram avaliadas 47 marcas de água mineral ;,"[True, True, True, True, True, True, True, True]",Foram avaliadas 47 marcas de água ;,"[False, False, False, False, False, True, False]",Foram avaliadas 47 marcas de mineral ;,"[False, False, False, False, False, True, False]",Foram avaliadas 47 marcas de água normal ;,"[False, False, False, False, False, True, True, False]",Foram avaliadas 47 marcas de coisa mineral ;,"[False, False, False, False, False, True, True, False]",Foram avaliadas 47 marcas de água inorgânica ;,"[False, False, False, False, False, True, True, False]",Foram avaliadas 47 marcas de fluido mineral ;,"[False, False, False, False, False, True, True, False]",Foram avaliadas 47 marcas de fluido inorgânico ;,"[False, False, False, False, False, True, True, False]",Foram avaliadas 47 marcas de água ;,"[False, False, False, False, False, True, False]",Foram avaliadas 47 marcas de imenso estilo ;,"[False, False, False, False, False, True, True, False]",Foram avaliadas 47 marcas de roda gigante ;,"[False, False, False, False, False, True, True, False]",Foram avaliadas 47 marcas de estádios próprios ;,"[False, False, False, False, False, True, True, False]",Foram avaliadas 47 marcas de lua nova ;,"[False, False, False, False, False, True, True, False]",Foram avaliadas 47 marcas de pintura inicial ;,"[False, False, False, False, False, True, True, False]",Foram avaliadas 47 marcas de poção mágica ;,"[False, False, False, False, False, True, True, False]",Foram avaliadas 47 marcas de série rápida ;,"[False, False, False, False, False, True, True, False]",Foram avaliadas 47 marcas de ovelha negra ;,"[False, False, False, False, False, True, True, False]",Foram avaliadas 47 marcas de velha obra ;,"[False, False, False, False, False, True, True, False]",Foram avaliadas 47 marcas de terceira idade ;,"[False, False, False, False, False, True, True, False]"
alarme falso,alarmes falsos,"[True, True]",Os alarmes falsos da chegada dos rebeldes eram constantes .,"[False, True, True, False, False, False, False, False, False, False]",Os alarmes falsos da chegada dos rebeldes eram constantes .,"[True, True, True, True, True, True, True, True, True, True]",Os alarmes da chegada dos rebeldes eram constantes .,"[False, True, False, False, False, False, False, False, False]",Os falsos da chegada dos rebeldes eram constantes .,"[False, True, False, False, False, False, False, False, False]",Os alarmes normais da chegada dos rebeldes eram constantes .,"[False, True, True, False, False, False, False, False, False, False]",Os coisos falsos da chegada dos rebeldes eram constantes .,"[False, True, True, False, False, False, False, False, False, False]",Os alarmes fingidos da chegada dos rebeldes eram constantes .,"[False, True, True, False, False, False, False, False, False, False]",Os avisos falsos da chegada dos rebeldes eram constantes .,"[False, True, True, False, False, False, False, False, False, False]",Os avisos fingidos da chegada dos rebeldes eram constantes .,"[False, True, True, False, False, False, False, False, False, False]",Os enganos da chegada dos rebeldes eram constantes .,"[False, True, False, False, False, False, False, False, False]",A nacionalidade croata da chegada dos rebeldes era constantes .,"[False, True, True, False, False, False, False, False, False, False]",Os caixeiros viajantes da chegada dos rebeldes eram constantes .,"[False, True, True, False, False, False, False, False, False, False]",Os alunos carentes da chegada dos rebeldes eram constantes .,"[False, True, True, False, False, False, False, False, False, False]",Os olhos nus da chegada dos rebeldes eram constantes .,"[False, True, True, False, False, False, False, False, False, False]",A grelha provisória da chegada dos rebeldes era constantes .,"[False, True, True, False, False, False, False, False, False, False]",Os abalos sísmicos da chegada dos rebeldes eram constantes .,"[False, True, True, False, False, False, False, False, False, False]",As múltiplas frentes da chegada dos rebeldes eram constantes .,"[False, True, True, False, False, False, False, False, False, False]",Os pontos fracos da chegada dos rebeldes eram constantes .,"[False, True, True, False, False, False, False, False, False, False]",O caro irmão da chegada dos rebeldes era constantes .,"[False, True, True, False, False, False, False, False, False, False]",Os paraísos fiscais da chegada dos rebeldes eram constantes .,"[False, True, True, False, False, False, False, False, False, False]"
algodão-doce,algodão-doce,[True],Adicione a isso jujubas e algodão-doce e você terá o meu conceito de como deveria ser o paraíso !,"[False, False, False, False, False, True, False, False, False, False, False, False, False, False, False, False, False, False, False]",Adicione a isso jujubas e algodão-doce e você terá o meu conceito de como deveria ser o paraíso !,"[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]",Adicione a isso jujubas e algodão e você terá o meu conceito de como deveria ser o paraíso !,"[False, False, False, False, False, True, False, False, False, False, False, False, False, False, False, False, False, False, False]",Adicione a isso jujubas e doce e você terá o meu conceito de como deveria ser o paraíso !,"[False, False, False, False, False, True, False, False, False, False, False, False, False, False, False, False, False, False, False]",Adicione a isso jujubas e algodão normal e você terá o meu conceito de como deveria ser o paraíso !,"[False, False, False, False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False]",Adicione a isso jujubas e coiso doce e você terá o meu conceito de como deveria ser o paraíso !,"[False, False, False, False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False]",Adicione a isso jujubas e algodão açucarado e você terá o meu conceito de como deveria ser o paraíso !,"[False, False, False, False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False]",Adicione a isso jujubas e algodoeiro doce e você terá o meu conceito de como deveria ser o paraíso !,"[False, False, False, False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False]",Adicione a isso jujubas e algodoeiro açucarado e você terá o meu conceito de como deveria ser o paraíso !,"[False, False, False, False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False]",Adicione a isso jujubas e doces e você terá o meu conceito de como deveria ser o paraíso !,"[False, False, False, False, False, True, False, False, False, False, False, False, False, False, False, False, False, False, False]",Adicione a isso jujubas e piores crises e você terá o meu conceito de como deveria ser o paraíso !,"[False, False, False, False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False]",Adicione a isso jujubas e centro espírita e você terá o meu conceito de como deveria ser o paraíso !,"[False, False, False, False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False]",Adicione a isso jujubas e supremo comandante e você terá o meu conceito de como deveria ser o paraíso !,"[False, False, False, False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False]",Adicione a isso jujubas e colégio militar e você terá o meu conceito de como deveria ser o paraíso !,"[False, False, False, False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False]",Adicione a isso jujubas e personalidade romântica e você terá o meu conceito de como deveria ser o paraíso !,"[False, False, False, False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False]",Adicione a isso jujubas e tiro livre e você terá o meu conceito de como deveria ser o paraíso !,"[False, False, False, False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False]",Adicione a isso jujubas e representação esquemática e você terá o meu conceito de como deveria ser o paraíso !,"[False, False, False, False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False]",Adicione a isso jujubas e sangue quente e você terá o meu conceito de como deveria ser o paraíso !,"[False, False, False, False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False]",Adicione a isso jujubas e tarefa enfadonha e você terá o meu conceito de como deveria ser o paraíso !,"[False, False, False, False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False]",Adicione a isso jujubas e pé-direito e você terá o meu conceito de como deveria ser o paraíso !,"[False, False, False, False, False, True, False, False, False, False, False, False, False, False, False, False, False, False, False]"
alta temporada,alta temporada,"[True, True]",A oferta de hotéis por toda a Índia é grande mesmo em alta temporada .,"[False, False, False, False, False, False, False, False, False, False, False, False, True, True, False]",A oferta de hotéis por toda a Índia é grande mesmo em alta temporada .,"[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]",A oferta de hotéis por toda a Índia é grande mesmo em alta .,"[False, False, False, False, False, False, False, False, False, False, False, False, True, False]",A oferta de hotéis por toda a Índia é grande mesmo em temporada .,"[False, False, False, False, False, False, False, False, False, False, False, False, True, False]",A oferta de hotéis por toda a Índia é grande mesmo em temporada normal .,"[False, False, False, False, False, False, False, False, False, False, False, False, True, True, False]",A oferta de hotéis por toda a Índia é grande mesmo em coisa alta .,"[False, False, False, False, False, False, False, False, False, False, False, False, True, True, False]",A oferta de hotéis por toda a Índia é grande mesmo em época alta .,"[False, False, False, False, False, False, False, False, False, False, False, False, True, True, False]",A oferta de hotéis por toda a Índia é grande mesmo em temporada elevada .,"[False, False, False, False, False, False, False, False, False, False, False, False, True, True, False]",A oferta de hotéis por toda a Índia é grande mesmo em época elevada .,"[False, False, False, False, False, False, False, False, False, False, False, False, True, True, False]",A oferta de hotéis por toda a Índia é grande mesmo em época de férias .,"[False, False, False, False, False, False, False, False, False, False, False, False, True, True, True, False]",A oferta de hotéis por toda a Índia é grande mesmo em maiores congressos .,"[False, False, False, False, False, False, False, False, False, False, False, False, True, True, False]",A oferta de hotéis por toda a Índia é grande mesmo em tartaruga-marinha .,"[False, False, False, False, False, False, False, False, False, False, False, False, True, False]",A oferta de hotéis por toda a Índia é grande mesmo em seguintes estados .,"[False, False, False, False, False, False, False, False, False, False, False, False, True, True, False]",A oferta de hotéis por toda a Índia é grande mesmo em comida caseira .,"[False, False, False, False, False, False, False, False, False, False, False, False, True, True, False]",A oferta de hotéis por toda a Índia é grande mesmo em nome moderno .,"[False, False, False, False, False, False, False, False, False, False, False, False, True, True, False]",A oferta de hotéis por toda a Índia é grande mesmo em caixa-forte .,"[False, False, False, False, False, False, False, False, False, False, False, False, True, False]",A oferta de hotéis por toda a Índia é grande mesmo em maiores indemnizações .,"[False, False, False, False, False, False, False, False, False, False, False, False, True, True, False]",A oferta de hotéis por toda a Índia é grande mesmo em terceira idade .,"[False, False, False, False, False, False, False, False, False, False, False, False, True, True, False]",A oferta de hotéis por toda a Índia é grande mesmo em noite quente .,"[False, False, False, False, False, False, False, False, False, False, False, False, True, True, False]",A oferta de hotéis por toda a Índia é grande mesmo em farinha integral .,"[False, False, False, False, False, False, False, False, False, False, False, False, True, True, False]"
alta-costura,alta-costura,[True],"Adoro ver roupas tidas como simples , mas com uma precisão de alta-costura .","[False, False, False, False, False, False, False, False, False, False, False, False, True, False]","Adoro ver roupas tidas como simples , mas com uma precisão de alta-costura .","[True, True, True, True, True, True, True, True, True, True, True, True, True, True]","Adoro ver roupas tidas como simples , mas com uma precisão de alta .","[False, False, False, False, False, False, False, False, False, False, False, False, True, False]","Adoro ver roupas tidas como simples , mas com uma precisão de costura .","[False, False, False, False, False, False, False, False, False, False, False, False, True, False]","Adoro ver roupas tidas como simples , mas com uma precisão de costura normal .","[False, False, False, False, False, False, False, False, False, False, False, False, True, True, False]","Adoro ver roupas tidas como simples , mas com uma precisão de coisa alta .","[False, False, False, False, False, False, False, False, False, False, False, False, True, True, False]","Adoro ver roupas tidas como simples , mas com uma precisão de alta sutura .","[False, False, False, False, False, False, False, False, False, False, False, False, True, True, False]","Adoro ver roupas tidas como simples , mas com uma precisão de costura elevada .","[False, False, False, False, False, False, False, False, False, False, False, False, True, True, False]","Adoro ver roupas tidas como simples , mas com uma precisão de sutura elevada .","[False, False, False, False, False, False, False, False, False, False, False, False, True, True, False]","Adoro ver roupas tidas como simples , mas com uma precisão de alta qualidade .","[False, False, False, False, False, False, False, False, False, False, False, False, True, True, False]","Adoro ver roupas tidas como simples , mas com uma precisão de serviços multimedia .","[False, False, False, False, False, False, False, False, False, False, False, False, True, True, False]","Adoro ver roupas tidas como simples , mas com uma precisão de máquina virtual .","[False, False, False, False, False, False, False, False, False, False, False, False, True, True, False]","Adoro ver roupas tidas como simples , mas com uma precisão de menor investimento .","[False, False, False, False, False, False, False, False, False, False, False, False, True, True, False]","Adoro ver roupas tidas como simples , mas com uma precisão de carne branca .","[False, False, False, False, False, False, False, False, False, False, False, False, True, True, False]","Adoro ver roupas tidas como simples , mas com uma precisão de som antigo .","[False, False, False, False, False, False, False, False, False, False, False, False, True, True, False]","Adoro ver roupas tidas como simples , mas com uma precisão de tartaruga-marinha .","[False, False, False, False, False, False, False, False, False, False, False, False, True, False]","Adoro ver roupas tidas como simples , mas com uma precisão de recursos especulativos .","[False, False, False, False, False, False, False, False, False, False, False, False, True, True, False]","Adoro ver roupas tidas como simples , mas com uma precisão de primeira-dama .","[False, False, False, False, False, False, False, False, False, False, False, False, True, False]","Adoro ver roupas tidas como simples , mas com uma precisão de bolo real .","[False, False, False, False, False, False, False, False, False, False, False, False, True, True, False]","Adoro ver roupas tidas como simples , mas com uma precisão de reta final .","[False, False, False, False, False, False, False, False, False, False, False, False, True, True, False]"
alto mar,alto mar,"[True, True]",Os grandes cardumes só estão em alto mar !,"[False, False, False, False, False, False, True, True, False]",Os grandes cardumes só estão em alto mar !,"[True, True, True, True, True, True, True, True, True]",Os grandes cardumes só estão em alto !,"[False, False, False, False, False, False, True, False]",Os grandes cardumes só estão em mar !,"[False, False, False, False, False, False, True, False]",Os grandes cardumes só estão em mar normal !,"[False, False, False, False, False, False, True, True, False]",Os grandes cardumes só estão em coiso alto !,"[False, False, False, False, False, False, True, True, False]",Os grandes cardumes só estão em oceano alto !,"[False, False, False, False, False, False, True, True, False]",Os grandes cardumes só estão em mar elevado !,"[False, False, False, False, False, False, True, True, False]",Os grandes cardumes só estão em oceano elevado !,"[False, False, False, False, False, False, True, True, False]",Os grandes cardumes só estão em mar aberto !,"[False, False, False, False, False, False, True, True, False]",Os grandes cardumes só estão em pequenos números !,"[False, False, False, False, False, False, True, True, False]",Os grandes cardumes só estão em curto-circuito !,"[False, False, False, False, False, False, True, False]",Os grandes cardumes só estão em população trans !,"[False, False, False, False, False, False, True, True, False]",Os grandes cardumes só estão em ar livre !,"[False, False, False, False, False, False, True, True, False]",Os grandes cardumes só estão em energia dominante !,"[False, False, False, False, False, False, True, True, False]",Os grandes cardumes só estão em governo federal !,"[False, False, False, False, False, False, True, True, False]",Os grandes cardumes só estão em resultados físicos !,"[False, False, False, False, False, False, True, True, False]",Os grandes cardumes só estão em processo seletivo !,"[False, False, False, False, False, False, True, True, False]",Os grandes cardumes só estão em relações tributárias !,"[False, False, False, False, False, False, True, True, False]",Os grandes cardumes só estão em pente fino !,"[False, False, False, False, False, False, True, True, False]"
