compound,compound noun,compound noun_tag,original sentence,original sentence_tag,entire original sentence,entire original sentence_tag,original head only,original head only_tag,original modifier only,original modifier only_tag,generic modifier,generic modifier_tag,generic head,generic head_tag,synonym modifier,synonym modifier_tag,synonym head,synonym head_tag,synonym both,synonym both_tag,synonym for compound,synonym for compound_tag,nc rand freq sentence1,nc rand freq sentence1_tag,nc rand sentence1,nc rand sentence1_tag,nc rand freq sentence2,nc rand freq sentence2_tag,nc rand sentence2,nc rand sentence2_tag,nc rand freq sentence3,nc rand freq sentence3_tag,nc rand sentence3,nc rand sentence3_tag,nc rand freq sentence4,nc rand freq sentence4_tag,nc rand sentence4,nc rand sentence4_tag,nc rand freq sentence5,nc rand freq sentence5_tag,nc rand sentence5,nc rand sentence5_tag
abalo sísmico,abalos sísmicos,"[True, True]",Tsunamis são ondas de grande energia geradas por abalos sísmicos .,"[False, False, False, False, False, False, False, False, True, True, False]",Tsunamis são ondas de grande energia geradas por abalos sísmicos .,"[True, True, True, True, True, True, True, True, True, True, True]",Tsunamis são ondas de grande energia geradas por abalos .,"[False, False, False, False, False, False, False, False, True, False]",Tsunamis são ondas de grande energia geradas por sísmicos .,"[False, False, False, False, False, False, False, False, True, False]",Tsunamis são ondas de grande energia geradas por abalos normais .,"[False, False, False, False, False, False, False, False, True, True, False]",Tsunamis são ondas de grande energia geradas por coisos sísmicos .,"[False, False, False, False, False, False, False, False, True, True, False]",Tsunamis são ondas de grande energia geradas por abalos enérgicos .,"[False, False, False, False, False, False, False, False, True, True, False]",Tsunamis são ondas de grande energia geradas por trepidações sísmicas .,"[False, False, False, False, False, False, False, False, True, True, False]",Tsunamis são ondas de grande energia geradas por trepidações enérgicas .,"[False, False, False, False, False, False, False, False, True, True, False]",Tsunamis são ondas de grande energia geradas por terremotos .,"[False, False, False, False, False, False, False, False, True, False]",Tsunamis são ondas de grande energia geradas por autarcas centristas .,"[False, False, False, False, False, False, False, False, True, True, False]",Tsunamis são ondas de grande energia geradas por novos-ricos .,"[False, False, False, False, False, False, False, False, True, False]",Tsunamis são ondas de grande energia geradas por cruzadores auxiliares .,"[False, False, False, False, False, False, False, False, True, True, False]",Tsunamis são ondas de grande energia geradas por vôos domésticos .,"[False, False, False, False, False, False, False, False, True, True, False]",Tsunamis são ondas de grande energia geradas por preceitos rígidos .,"[False, False, False, False, False, False, False, False, True, True, False]",Tsunamis são ondas de grande energia geradas por pontos cegos .,"[False, False, False, False, False, False, False, False, True, True, False]",Tsunamis são ondas de grande energia geradas por índios aculturados .,"[False, False, False, False, False, False, False, False, True, True, False]",Tsunamis são ondas de grande energia geradas por exames laboratoriais .,"[False, False, False, False, False, False, False, False, True, True, False]",Tsunamis são ondas de grande energia geradas por bombardeamentos intensos .,"[False, False, False, False, False, False, False, False, True, True, False]",Tsunamis são ondas de grande energia geradas por gatos-pingados .,"[False, False, False, False, False, False, False, False, True, False]"
acampamento militar,acampamento militar,"[True, True]",Um acampamento militar e várias barreiras policiais foram instaladas nos acessos e no povoado .,"[False, True, True, False, False, False, False, False, False, False, False, False, False, False, False]",Um acampamento militar e várias barreiras policiais foram instaladas nos acessos e no povoado .,"[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]",Um acampamento e várias barreiras policiais foram instaladas nos acessos e no povoado .,"[False, True, False, False, False, False, False, False, False, False, False, False, False, False]",Um militar e várias barreiras policiais foram instaladas nos acessos e no povoado .,"[False, True, False, False, False, False, False, False, False, False, False, False, False, False]",Um acampamento normal e várias barreiras policiais foram instaladas nos acessos e no povoado .,"[False, True, True, False, False, False, False, False, False, False, False, False, False, False, False]",Um coiso militar e várias barreiras policiais foram instaladas nos acessos e no povoado .,"[False, True, True, False, False, False, False, False, False, False, False, False, False, False, False]",Um acampamento bélico e várias barreiras policiais foram instaladas nos acessos e no povoado .,"[False, True, True, False, False, False, False, False, False, False, False, False, False, False, False]",Um camping militar e várias barreiras policiais foram instaladas nos acessos e no povoado .,"[False, True, True, False, False, False, False, False, False, False, False, False, False, False, False]",Um camping bélico e várias barreiras policiais foram instaladas nos acessos e no povoado .,"[False, True, True, False, False, False, False, False, False, False, False, False, False, False, False]",Um acampamento do exército e várias barreiras policiais foram instaladas nos acessos e no povoado .,"[False, True, True, True, False, False, False, False, False, False, False, False, False, False, False, False]",Uma situação líquida e várias barreiras policiais foram instaladas nos acessos e no povoado .,"[False, True, True, False, False, False, False, False, False, False, False, False, False, False, False]",Um sistema político e várias barreiras policiais foram instaladas nos acessos e no povoado .,"[False, True, True, False, False, False, False, False, False, False, False, False, False, False, False]",Uma coisa óbvia e várias barreiras policiais foram instaladas nos acessos e no povoado .,"[False, True, True, False, False, False, False, False, False, False, False, False, False, False, False]",Um longa-metragem e várias barreiras policiais foram instaladas nos acessos e no povoado .,"[False, True, False, False, False, False, False, False, False, False, False, False, False, False]",Uma abordagem geral e várias barreiras policiais foram instaladas nos acessos e no povoado .,"[False, True, True, False, False, False, False, False, False, False, False, False, False, False, False]",Um gelo-seco e várias barreiras policiais foram instaladas nos acessos e no povoado .,"[False, True, False, False, False, False, False, False, False, False, False, False, False, False]",Um café expresso e várias barreiras policiais foram instaladas nos acessos e no povoado .,"[False, True, True, False, False, False, False, False, False, False, False, False, False, False, False]",Um ar livre e várias barreiras policiais foram instaladas nos acessos e no povoado .,"[False, True, True, False, False, False, False, False, False, False, False, False, False, False, False]",Um vaso sanguíneo e várias barreiras policiais foram instaladas nos acessos e no povoado .,"[False, True, True, False, False, False, False, False, False, False, False, False, False, False, False]",Um príncipe encantado e várias barreiras policiais foram instaladas nos acessos e no povoado .,"[False, True, True, False, False, False, False, False, False, False, False, False, False, False, False]"
agente secreto,agente secreto,"[True, True]",Um agente secreto dos Estados Unidos se apaixona por uma espiã .,"[False, True, True, False, False, False, False, False, False, False, False, False]",Um agente secreto dos Estados Unidos se apaixona por uma espiã .,"[True, True, True, True, True, True, True, True, True, True, True, True]",Um agente dos Estados Unidos se apaixona por uma espiã .,"[False, True, False, False, False, False, False, False, False, False, False]",Um secreto dos Estados Unidos se apaixona por uma espiã .,"[False, True, False, False, False, False, False, False, False, False, False]",Um agente normal dos Estados Unidos se apaixona por uma espiã .,"[False, True, True, False, False, False, False, False, False, False, False, False]",Um coiso secreto dos Estados Unidos se apaixona por uma espiã .,"[False, True, True, False, False, False, False, False, False, False, False, False]",Um agente oculto dos Estados Unidos se apaixona por uma espiã .,"[False, True, True, False, False, False, False, False, False, False, False, False]",Um agenciador secreto dos Estados Unidos se apaixona por uma espiã .,"[False, True, True, False, False, False, False, False, False, False, False, False]",Um agenciador oculto dos Estados Unidos se apaixona por uma espiã .,"[False, True, True, False, False, False, False, False, False, False, False, False]",Um espião dos Estados Unidos se apaixona por uma espiã .,"[False, True, False, False, False, False, False, False, False, False, False]",Umas diferenças técnicas dos Estados Unidos se apaixonam por uma espiã .,"[False, True, True, False, False, False, False, False, False, False, False, False]",Um tempo real dos Estados Unidos se apaixona por uma espiã .,"[False, True, True, False, False, False, False, False, False, False, False, False]",Um tipo societário dos Estados Unidos se apaixona por uma espiã .,"[False, True, True, False, False, False, False, False, False, False, False, False]",Um primeiro ministro dos Estados Unidos se apaixona por uma espiã .,"[False, True, True, False, False, False, False, False, False, False, False, False]",Umas ligas europeias dos Estados Unidos se apaixonam por uma espiã .,"[False, True, True, False, False, False, False, False, False, False, False, False]",Um nó cego dos Estados Unidos se apaixona por uma espiã .,"[False, True, True, False, False, False, False, False, False, False, False, False]",Um formato mínimo dos Estados Unidos se apaixona por uma espiã .,"[False, True, True, False, False, False, False, False, False, False, False, False]",Um olho gordo dos Estados Unidos se apaixona por uma espiã .,"[False, True, True, False, False, False, False, False, False, False, False, False]",Um menisco interno dos Estados Unidos se apaixona por uma espiã .,"[False, True, True, False, False, False, False, False, False, False, False, False]",Um pronto-socorro dos Estados Unidos se apaixona por uma espiã .,"[False, True, False, False, False, False, False, False, False, False, False]"
água doce,água doce,"[True, True]","A maior reserva de água doce , que ganha cada vez mais importância .","[False, False, False, False, True, True, False, False, False, False, False, False, False, False]","A maior reserva de água doce , que ganha cada vez mais importância .","[True, True, True, True, True, True, True, True, True, True, True, True, True, True]","A maior reserva de água , que ganha cada vez mais importância .","[False, False, False, False, True, False, False, False, False, False, False, False, False]","A maior reserva de doce , que ganha cada vez mais importância .","[False, False, False, False, True, False, False, False, False, False, False, False, False]","A maior reserva de água normal , que ganha cada vez mais importância .","[False, False, False, False, True, True, False, False, False, False, False, False, False, False]","A maior reserva de coisa doce , que ganha cada vez mais importância .","[False, False, False, False, True, True, False, False, False, False, False, False, False, False]","A maior reserva de água açucarada , que ganha cada vez mais importância .","[False, False, False, False, True, True, False, False, False, False, False, False, False, False]","A maior reserva de fluido doce , que ganha cada vez mais importância .","[False, False, False, False, True, True, False, False, False, False, False, False, False, False]","A maior reserva de fluido açucarado , que ganha cada vez mais importância .","[False, False, False, False, True, True, False, False, False, False, False, False, False, False]","A maior reserva de água potável , que ganha cada vez mais importância .","[False, False, False, False, True, True, False, False, False, False, False, False, False, False]","A maior reserva de forte espanhol , que ganha cada vez mais importância .","[False, False, False, False, True, True, False, False, False, False, False, False, False, False]","A maior reserva de terceira pessoa , que ganha cada vez mais importância .","[False, False, False, False, True, True, False, False, False, False, False, False, False, False]","A maior reserva de diversas confissões , que ganha cada vez mais importância .","[False, False, False, False, True, True, False, False, False, False, False, False, False, False]","A maior reserva de roleta russa , que ganha cada vez mais importância .","[False, False, False, False, True, True, False, False, False, False, False, False, False, False]","A maior reserva de importante arquivo , que ganha cada vez mais importância .","[False, False, False, False, True, True, False, False, False, False, False, False, False, False]","A maior reserva de febre amarela , que ganha cada vez mais importância .","[False, False, False, False, True, True, False, False, False, False, False, False, False, False]","A maior reserva de próximo nascimento , que ganha cada vez mais importância .","[False, False, False, False, True, True, False, False, False, False, False, False, False, False]","A maior reserva de gripe suína , que ganha cada vez mais importância .","[False, False, False, False, True, True, False, False, False, False, False, False, False, False]","A maior reserva de diversas seções , que ganha cada vez mais importância .","[False, False, False, False, True, True, False, False, False, False, False, False, False, False]","A maior reserva de mesa-redonda , que ganha cada vez mais importância .","[False, False, False, False, True, False, False, False, False, False, False, False, False]"
água mineral,água mineral,"[True, True]",Os bons bebem café ou água mineral .,"[False, False, False, False, False, True, True, False]",Os bons bebem café ou água mineral .,"[True, True, True, True, True, True, True, True]",Os bons bebem café ou água .,"[False, False, False, False, False, True, False]",Os bons bebem café ou mineral .,"[False, False, False, False, False, True, False]",Os bons bebem café ou água normal .,"[False, False, False, False, False, True, True, False]",Os bons bebem café ou coisa mineral .,"[False, False, False, False, False, True, True, False]",Os bons bebem café ou água inorgânica .,"[False, False, False, False, False, True, True, False]",Os bons bebem café ou fluido mineral .,"[False, False, False, False, False, True, True, False]",Os bons bebem café ou fluido inorgânico .,"[False, False, False, False, False, True, True, False]",Os bons bebem café ou água .,"[False, False, False, False, False, True, False]",Os bons bebem café ou imenso estilo .,"[False, False, False, False, False, True, True, False]",Os bons bebem café ou caixa-preta .,"[False, False, False, False, False, True, False]",Os bons bebem café ou estádios próprios .,"[False, False, False, False, False, True, True, False]",Os bons bebem café ou viva voz .,"[False, False, False, False, False, True, True, False]",Os bons bebem café ou pintura inicial .,"[False, False, False, False, False, True, True, False]",Os bons bebem café ou lista negra .,"[False, False, False, False, False, True, True, False]",Os bons bebem café ou série rápida .,"[False, False, False, False, False, True, True, False]",Os bons bebem café ou terceira pessoa .,"[False, False, False, False, False, True, True, False]",Os bons bebem café ou velha obra .,"[False, False, False, False, False, True, True, False]",Os bons bebem café ou sentença judicial .,"[False, False, False, False, False, True, True, False]"
alarme falso,alarme falso,"[True, True]","Achei que tinha tido progresso , mas nada , alarme falso .","[False, False, False, False, False, False, False, False, False, True, True, False]","Achei que tinha tido progresso , mas nada , alarme falso .","[True, True, True, True, True, True, True, True, True, True, True, True]","Achei que tinha tido progresso , mas nada , alarme .","[False, False, False, False, False, False, False, False, False, True, False]","Achei que tinha tido progresso , mas nada , falso .","[False, False, False, False, False, False, False, False, False, True, False]","Achei que tinha tido progresso , mas nada , alarme normal .","[False, False, False, False, False, False, False, False, False, True, True, False]","Achei que tinha tido progresso , mas nada , coiso falso .","[False, False, False, False, False, False, False, False, False, True, True, False]","Achei que tinha tido progresso , mas nada , alarme fingido .","[False, False, False, False, False, False, False, False, False, True, True, False]","Achei que tinha tido progresso , mas nada , aviso falso .","[False, False, False, False, False, False, False, False, False, True, True, False]","Achei que tinha tido progresso , mas nada , aviso fingido .","[False, False, False, False, False, False, False, False, False, True, True, False]","Achei que tinha tido progresso , mas nada , engano .","[False, False, False, False, False, False, False, False, False, True, False]","Achei que tinha tido progresso , mas nada , nacionalidade croata .","[False, False, False, False, False, False, False, False, False, True, True, False]","Achei que tinha tido progresso , mas nada , papel higiênico .","[False, False, False, False, False, False, False, False, False, True, True, False]","Achei que tinha tido progresso , mas nada , alunos carentes .","[False, False, False, False, False, False, False, False, False, True, True, False]","Achei que tinha tido progresso , mas nada , navio negreiro .","[False, False, False, False, False, False, False, False, False, True, True, False]","Achei que tinha tido progresso , mas nada , grelha provisória .","[False, False, False, False, False, False, False, False, False, True, True, False]","Achei que tinha tido progresso , mas nada , tapete vermelho .","[False, False, False, False, False, False, False, False, False, True, True, False]","Achei que tinha tido progresso , mas nada , múltiplas frentes .","[False, False, False, False, False, False, False, False, False, True, True, False]","Achei que tinha tido progresso , mas nada , regime político .","[False, False, False, False, False, False, False, False, False, True, True, False]","Achei que tinha tido progresso , mas nada , caro irmão .","[False, False, False, False, False, False, False, False, False, True, True, False]","Achei que tinha tido progresso , mas nada , olho gordo .","[False, False, False, False, False, False, False, False, False, True, True, False]"
algodão-doce,algodão-doce,[True],"Para a garotada , pipoca , algodão-doce , cachorro quente , cama elástica e piscina de bolinhas .","[False, False, False, False, False, False, True, False, False, False, False, False, False, False, False, False, False, False]","Para a garotada , pipoca , algodão-doce , cachorro quente , cama elástica e piscina de bolinhas .","[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]","Para a garotada , pipoca , algodão , cachorro quente , cama elástica e piscina de bolinhas .","[False, False, False, False, False, False, True, False, False, False, False, False, False, False, False, False, False, False]","Para a garotada , pipoca , doce , cachorro quente , cama elástica e piscina de bolinhas .","[False, False, False, False, False, False, True, False, False, False, False, False, False, False, False, False, False, False]","Para a garotada , pipoca , algodão normal , cachorro quente , cama elástica e piscina de bolinhas .","[False, False, False, False, False, False, True, True, False, False, False, False, False, False, False, False, False, False, False]","Para a garotada , pipoca , coiso doce , cachorro quente , cama elástica e piscina de bolinhas .","[False, False, False, False, False, False, True, True, False, False, False, False, False, False, False, False, False, False, False]","Para a garotada , pipoca , algodão açucarado , cachorro quente , cama elástica e piscina de bolinhas .","[False, False, False, False, False, False, True, True, False, False, False, False, False, False, False, False, False, False, False]","Para a garotada , pipoca , algodoeiro doce , cachorro quente , cama elástica e piscina de bolinhas .","[False, False, False, False, False, False, True, True, False, False, False, False, False, False, False, False, False, False, False]","Para a garotada , pipoca , algodoeiro açucarado , cachorro quente , cama elástica e piscina de bolinhas .","[False, False, False, False, False, False, True, True, False, False, False, False, False, False, False, False, False, False, False]","Para a garotada , pipoca , doce , cachorro quente , cama elástica e piscina de bolinhas .","[False, False, False, False, False, False, True, False, False, False, False, False, False, False, False, False, False, False]","Para a garotada , pipoca , piores crises , cachorro quente , cama elástica e piscina de bolinhas .","[False, False, False, False, False, False, True, True, False, False, False, False, False, False, False, False, False, False, False]","Para a garotada , pipoca , quadro-negro , cachorro quente , cama elástica e piscina de bolinhas .","[False, False, False, False, False, False, True, False, False, False, False, False, False, False, False, False, False, False]","Para a garotada , pipoca , supremo comandante , cachorro quente , cama elástica e piscina de bolinhas .","[False, False, False, False, False, False, True, True, False, False, False, False, False, False, False, False, False, False, False]","Para a garotada , pipoca , olho gordo , cachorro quente , cama elástica e piscina de bolinhas .","[False, False, False, False, False, False, True, True, False, False, False, False, False, False, False, False, False, False, False]","Para a garotada , pipoca , personalidade romântica , cachorro quente , cama elástica e piscina de bolinhas .","[False, False, False, False, False, False, True, True, False, False, False, False, False, False, False, False, False, False, False]","Para a garotada , pipoca , pau-mandado , cachorro quente , cama elástica e piscina de bolinhas .","[False, False, False, False, False, False, True, False, False, False, False, False, False, False, False, False, False, False]","Para a garotada , pipoca , representação esquemática , cachorro quente , cama elástica e piscina de bolinhas .","[False, False, False, False, False, False, True, True, False, False, False, False, False, False, False, False, False, False, False]","Para a garotada , pipoca , príncipe encantado , cachorro quente , cama elástica e piscina de bolinhas .","[False, False, False, False, False, False, True, True, False, False, False, False, False, False, False, False, False, False, False]","Para a garotada , pipoca , tarefa enfadonha , cachorro quente , cama elástica e piscina de bolinhas .","[False, False, False, False, False, False, True, True, False, False, False, False, False, False, False, False, False, False, False]","Para a garotada , pipoca , relógio biológico , cachorro quente , cama elástica e piscina de bolinhas .","[False, False, False, False, False, False, True, True, False, False, False, False, False, False, False, False, False, False, False]"
alta temporada,alta temporada,"[True, True]","É importante reservar antes , principalmente em período de alta temporada !","[False, False, False, False, False, False, False, False, False, True, True, False]","É importante reservar antes , principalmente em período de alta temporada !","[True, True, True, True, True, True, True, True, True, True, True, True]","É importante reservar antes , principalmente em período de alta !","[False, False, False, False, False, False, False, False, False, True, False]","É importante reservar antes , principalmente em período de temporada !","[False, False, False, False, False, False, False, False, False, True, False]","É importante reservar antes , principalmente em período de temporada normal !","[False, False, False, False, False, False, False, False, False, True, True, False]","É importante reservar antes , principalmente em período de coisa alta !","[False, False, False, False, False, False, False, False, False, True, True, False]","É importante reservar antes , principalmente em período de época alta !","[False, False, False, False, False, False, False, False, False, True, True, False]","É importante reservar antes , principalmente em período de temporada elevada !","[False, False, False, False, False, False, False, False, False, True, True, False]","É importante reservar antes , principalmente em período de época elevada !","[False, False, False, False, False, False, False, False, False, True, True, False]","É importante reservar antes , principalmente em período de época de férias !","[False, False, False, False, False, False, False, False, False, True, True, True, False]","É importante reservar antes , principalmente em período de maiores congressos !","[False, False, False, False, False, False, False, False, False, True, True, False]","É importante reservar antes , principalmente em período de caixa-forte !","[False, False, False, False, False, False, False, False, False, True, False]","É importante reservar antes , principalmente em período de seguintes estados !","[False, False, False, False, False, False, False, False, False, True, True, False]","É importante reservar antes , principalmente em período de gripe aviária !","[False, False, False, False, False, False, False, False, False, True, True, False]","É importante reservar antes , principalmente em período de nome moderno !","[False, False, False, False, False, False, False, False, False, True, True, False]","É importante reservar antes , principalmente em período de força bruta !","[False, False, False, False, False, False, False, False, False, True, True, False]","É importante reservar antes , principalmente em período de maiores indemnizações !","[False, False, False, False, False, False, False, False, False, True, True, False]","É importante reservar antes , principalmente em período de tartaruga-marinha !","[False, False, False, False, False, False, False, False, False, True, False]","É importante reservar antes , principalmente em período de noite quente !","[False, False, False, False, False, False, False, False, False, True, True, False]","É importante reservar antes , principalmente em período de câmara fria !","[False, False, False, False, False, False, False, False, False, True, True, False]"
alta-costura,alta-costura,[True],A marca Christian Dior é um ícone da moda de alta-costura .,"[False, False, False, False, False, False, False, False, False, False, True, False]",A marca Christian Dior é um ícone da moda de alta-costura .,"[True, True, True, True, True, True, True, True, True, True, True, True]",A marca Christian Dior é um ícone da moda de alta .,"[False, False, False, False, False, False, False, False, False, False, True, False]",A marca Christian Dior é um ícone da moda de costura .,"[False, False, False, False, False, False, False, False, False, False, True, False]",A marca Christian Dior é um ícone da moda de costura normal .,"[False, False, False, False, False, False, False, False, False, False, True, True, False]",A marca Christian Dior é um ícone da moda de coisa alta .,"[False, False, False, False, False, False, False, False, False, False, True, True, False]",A marca Christian Dior é um ícone da moda de alta sutura .,"[False, False, False, False, False, False, False, False, False, False, True, True, False]",A marca Christian Dior é um ícone da moda de costura elevada .,"[False, False, False, False, False, False, False, False, False, False, True, True, False]",A marca Christian Dior é um ícone da moda de sutura elevada .,"[False, False, False, False, False, False, False, False, False, False, True, True, False]",A marca Christian Dior é um ícone da moda de alta qualidade .,"[False, False, False, False, False, False, False, False, False, False, True, True, False]",A marca Christian Dior é um ícone da moda de serviços multimedia .,"[False, False, False, False, False, False, False, False, False, False, True, True, False]",A marca Christian Dior é um ícone da moda de poção mágica .,"[False, False, False, False, False, False, False, False, False, False, True, True, False]",A marca Christian Dior é um ícone da moda de menor investimento .,"[False, False, False, False, False, False, False, False, False, False, True, True, False]",A marca Christian Dior é um ícone da moda de batata-doce .,"[False, False, False, False, False, False, False, False, False, False, True, False]",A marca Christian Dior é um ícone da moda de som antigo .,"[False, False, False, False, False, False, False, False, False, False, True, True, False]",A marca Christian Dior é um ícone da moda de caixa-preta .,"[False, False, False, False, False, False, False, False, False, False, True, False]",A marca Christian Dior é um ícone da moda de recursos especulativos .,"[False, False, False, False, False, False, False, False, False, False, True, True, False]",A marca Christian Dior é um ícone da moda de carne vermelha .,"[False, False, False, False, False, False, False, False, False, False, True, True, False]",A marca Christian Dior é um ícone da moda de bolo real .,"[False, False, False, False, False, False, False, False, False, False, True, True, False]",A marca Christian Dior é um ícone da moda de quinta categoria .,"[False, False, False, False, False, False, False, False, False, False, True, True, False]"
alto mar,alto mar,"[True, True]",Estória de batalha desesperada e mortes em alto mar .,"[False, False, False, False, False, False, False, True, True, False]",Estória de batalha desesperada e mortes em alto mar .,"[True, True, True, True, True, True, True, True, True, True]",Estória de batalha desesperada e mortes em alto .,"[False, False, False, False, False, False, False, True, False]",Estória de batalha desesperada e mortes em mar .,"[False, False, False, False, False, False, False, True, False]",Estória de batalha desesperada e mortes em mar normal .,"[False, False, False, False, False, False, False, True, True, False]",Estória de batalha desesperada e mortes em coiso alto .,"[False, False, False, False, False, False, False, True, True, False]",Estória de batalha desesperada e mortes em oceano alto .,"[False, False, False, False, False, False, False, True, True, False]",Estória de batalha desesperada e mortes em mar elevado .,"[False, False, False, False, False, False, False, True, True, False]",Estória de batalha desesperada e mortes em oceano elevado .,"[False, False, False, False, False, False, False, True, True, False]",Estória de batalha desesperada e mortes em mar aberto .,"[False, False, False, False, False, False, False, True, True, False]",Estória de batalha desesperada e mortes em pequenos números .,"[False, False, False, False, False, False, False, True, True, False]",Estória de batalha desesperada e mortes em acampamento militar .,"[False, False, False, False, False, False, False, True, True, False]",Estória de batalha desesperada e mortes em população trans .,"[False, False, False, False, False, False, False, True, True, False]",Estória de batalha desesperada e mortes em mar aberto .,"[False, False, False, False, False, False, False, True, True, False]",Estória de batalha desesperada e mortes em energia dominante .,"[False, False, False, False, False, False, False, True, True, False]",Estória de batalha desesperada e mortes em pé quente .,"[False, False, False, False, False, False, False, True, True, False]",Estória de batalha desesperada e mortes em resultados físicos .,"[False, False, False, False, False, False, False, True, True, False]",Estória de batalha desesperada e mortes em circuito integrado .,"[False, False, False, False, False, False, False, True, True, False]",Estória de batalha desesperada e mortes em relações tributárias .,"[False, False, False, False, False, False, False, True, True, False]",Estória de batalha desesperada e mortes em paraíso fiscal .,"[False, False, False, False, False, False, False, True, True, False]"
